title,firstname,middlename,lastname,fullname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Neil,,Abercrombie,Neil Abercrombie,,,D,HI,1,0,M,,,http://www.house.gov/abercrombie,,,A000014,26827,H6HI01121,400001,N00007665,neilabercrombie,http://www.opencongress.org/wiki/Neil_Abercrombie,http://youtube.com/hawaiirep1,,,,6/26/38,
Rep,Gary,L.,Ackerman,Gary Ackerman,,,D,NY,5,0,M,202-225-2601,202-225-1589,http://ackerman.house.gov/,http://www.house.gov/writerep,2111 Rayburn House Office Building,A000022,26970,H4NY07011,400003,N00001143,repgaryackerman,http://www.opencongress.org/wiki/Gary_Ackerman,http://youtube.com/RepAckerman,RepAcherman,,,11/19/42,
Rep,Robert,B.,Aderholt,Robert Aderholt,,,R,AL,4,1,M,202-225-4876,202-225-5587,http://aderholt.house.gov,http://aderholt.house.gov/email-me2/,2369 Rayburn House Office Building,A000055,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,http://youtube.com/RobertAderholt,19787529402,,,7/22/65,Rep.Aderholt@opencongress.org
Sen,Daniel,Kahikina,Akaka,Daniel Akaka,,,D,HI,Junior Seat,0,M,202-224-6361,202-224-2126,http://akaka.senate.gov,http://www.akaka.senate.gov/email-senator-akaka.cfm,141 Hart Senate Office Building,A000069,53286,S0HI00084,300001,N00007653,,http://www.opencongress.org/wiki/Daniel_Akaka,http://youtube.com/senatorakaka,danielakaka,,I,9/11/24,
Sen,Wayne,A.,Allard,Wayne Allard,,,R,CO,Senior Seat,0,M,,,http://allard.senate.gov,,,A000109,26783,S6CO00168,300003,N00009082,,http://www.opencongress.org/wiki/Wayne_Allard,,,,II,12/2/43,
Rep,Robert,E.,Andrews,Robert Andrews,,Rob,D,NJ,1,0,M,202-225-6501,,http://andrews.house.gov,http://andrews.house.gov/contact-me/email-me,2265 Rayburn House Office Building,A000210,26949,H0NJ01066,400008,N00000826,,http://www.opencongress.org/wiki/Robert_Andrews,,,,,8/4/57,
Rep,Thomas,H.,Allen,Thomas Allen,,Tom,D,ME,1,0,M,,,http://tomallen.house.gov,,,A000357,380,H6ME01157,400007,N00000469,,http://www.opencongress.org/wiki/Thomas_Allen,,,,,4/16/45,
Rep,W.,Todd,Akin,W. Akin,,,R,MO,2,0,M,202-225-2561,202-225-2563,http://akin.house.gov,http://akin.house.gov/email.shtml,117 Cannon House Office Building,A000358,9301,H0MO02148,400005,N00009677,ToddAkin,http://www.opencongress.org/wiki/W._Todd_Akin,http://youtube.com/RepToddAkin,CongressmanToddAkin,,,7/5/47,
Sen,Lamar,,Alexander,Lamar Alexander,,,R,TN,Senior Seat,1,M,202-224-4944,202-228-3398,http://www.alexander.senate.gov,http://www.alexander.senate.gov/public/index.cfm?p=Email,455 Dirksen Senate Office Building,A000360,15691,S2TN00058,300002,N00009888,SenAlexander,http://www.opencongress.org/wiki/Lamar_Alexander,http://youtube.com/lamaralexander,89927603836,,II,7/3/40,Sen.Alexander@opencongress.org
Rep,Rodney,M.,Alexander,Rodney Alexander,,,R,LA,5,0,M,202-225-8490,202-225-5639,http://alexander.house.gov,https://alexander.house.gov/email-me,316 Cannon House Office Building,A000361,4545,H2LA05084,400006,N00025464,USRepAlexander,http://www.opencongress.org/wiki/Rodney_Alexander,http://youtube.com/RepRodneyMAlexander,20002702544,,,12/5/46,
